Date,;Region,;Trigger,;Weak Layer,Depth_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates
2013-03-10,Salt Lake,Unknown,New Snow/Old Snow Interface,15,1800.0,East,9500.0,"40.645610000000, -111.597962000000"
2013-03-11,Salt Lake,Skier,New Snow/Old Snow Interface,6,3000.0,North,10000.0,"40.599877000000, -111.634827000000"
2013-03-10,Moab,Natural,New Snow,36,9600.0,Southwest,11800.0,"38.501631000000, -109.209251000000"
2013-03-12,Logan,Snowmobiler,Facets,12,1500.0,West,6500.0,"41.688745000000, -111.742330000000"
2013-03-13,Provo,Skier,Wet grains,6,21000.0,Southeast,10500.0,"40.368978000000, -111.618347000000"
2013-03-13,Logan,Natural,Ground Interface,18,8400.0,West,7600.0,"41.896911000000, -111.549768000000"
2013-03-15,Salt Lake,Natural,Wet grains,36,8400.0,East,9900.0,"40.640530000000, -111.576891000000"
2013-03-14,Logan,Natural,Unknown,24,9600.0,West,7600.0,"41.897166000000, -111.550541000000"
2013-03-18,Uintas,Skier,Facets,30,12000.0,Northeast,10800.0,"40.809793000000, -110.953803000000"
2013-03-15,Uintas,Natural,Depth Hoar,36,2400.0,Northeast,9800.0,"40.467630000000, -111.107998000000"
2013-03-20,Salt Lake,Skier,New Snow,8,4800.0,North,10100.0,"40.604244000000, -111.641994000000"
2013-03-21,Salt Lake,Skier,Density Change,10,4200.0,Northeast,10200.0,"40.581888000000, -111.587749000000"
2013-03-21,Logan,Skier,New Snow/Old Snow Interface,12,2400.0,East,9000.0,"41.683404000000, -111.696587000000"
2013-03-21,Salt Lake,Natural,Graupel,10,1200.0,Northwest,10500.0,"40.591796000000, -111.674566000000"
2013-03-23,Provo,Snow Bike,New Snow/Old Snow Interface,4,3600.0,Southeast,9500.0,"40.552059000000, -111.568147000000"
2013-03-23,Salt Lake,Skier,New Snow,12,9600.0,Northeast,10100.0,"40.607723000000, -111.643547000000"
2013-03-23,Salt Lake,Skier,New Snow,9,4800.0,Northeast,10100.0,"40.594980000000, -111.660876000000"
2013-03-21,Salt Lake,Natural,New Snow/Old Snow Interface,20,18000.0,Northeast,10600.0,"40.545309000000, -111.730099000000"
2013-03-23,Logan,Snowboarder,New Snow/Old Snow Interface,16,1200.0,Northeast,9100.0,"41.896559000000, -111.659074000000"
2013-03-23,Salt Lake,Skier,New Snow,6,7200.0,Northeast,10200.0,"40.600666000000, -111.634333000000"
2013-03-23,Salt Lake,Skier,Facets,20,2400.0,Northeast,10200.0,"40.623041000000, -111.668215000000"
2013-03-23,Salt Lake,Skier,New Snow/Old Snow Interface,10,2400.0,East,8800.0,"40.612584000000, -111.623282000000"
2013-03-24,Salt Lake,Skier,New Snow,15,8400.0,Northeast,9600.0,"40.608144000000, -111.683621000000"
