OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
23467,1977,CA,USF,INF, ,00000000,,,9,,1,164.97258,,,,,00005405,1970,6018.19216087014,1042133.08369029
23468,1914,CA,USF,TNF, ,00000000,,,14,,1,109.80132, ,,,,00000002,,3938.08269316449,745989.44822325
23469,1915,CA,USF,TNF, ,00000000,,,14,,1,604.75916, ,,,,00000002,,8375.05302380357,4109706.71756792
23470,1915,CA,USF,TNF, ,00000000,,,1,,1,191.66872, ,,,,00000003,,7844.69931417969,1301706.86222576
23471,1916,CA,USF,ENF, ,00000000,,,9,,1,1407.7616, ,,,,24100000,,14759.6119176369,9440683.13784914
23472,1977,CA,USF,MNF, ,00000000,,,9,,1,220.60417,,,,,00000124,1970,4842.35910791847,1516030.53275843
23473,1977,CA,USF,MNF, ,00000000,,,9,,1,113.69093,,,,,00000125,1970,3930.81639502807,775079.003540083
23474,1977,CA,USF,MNF, ,00000000,,,9,,1,97.769112,,,,,00000126,1970,3485.12412724295,660351.200971892
23475,1977,CA,CCO,LAC,LOST FIRE,00312031,1977/07/16 00:00:00+00,,14,,1,224.99109,,,,,00004028,1970,5557.50055672509,1347281.14408665
23476,1977,CA,CCO,LAC,RITTER FIRE,00312037,1977/06/27 00:00:00+00,,14,,1,367.37659,,,,,00000856,1970,6908.05114887734,2198581.27363875
23477,1977,CA,CCO,LAC,VIOLIN FIRE,00319401,1977/07/30 00:00:00+00,,14,,1,339.59927,,,,,00049142,1970,6498.00859307086,2030909.22872649
23478,1977,CA,CCO,LAC,MIDDLE FIRE/USFS,00USFS0F,1977/07/24 00:00:00+00,,14,,1,4137.7529,,,,,00000IRE,1970,25055.5715164369,24634265.3680105
23479,1977,CA,CCO,LAC,VETTER FIRE/USFS,00USFS0F,1977/06/25 00:00:00+00,,14,,1,2244.6895,,,,,00000IRE,1970,20234.1284283766,13342487.001669
23480,1977,CA,CCO,LAC,CANYON FIRE,00316026,1977/11/14 00:00:00+00,,14,,1,1162.6368,,,,,00093100,1970,19992.2303726583,6880430.01054931
23481,1977,CA,CCO,LAC,CARLISLE FIRE,00312031,1977/11/15 00:00:00+00,,14,,1,1376.8029,,,,,00044327,1970,19970.723887215,8146129.39104222
23482,1977,CA,CCO,LAC, ,00000000,1977/07/07 00:00:00+00,,14,,1,4.9909568,,,,,00000000,1970,739.217861179128,29563.4829845892
23483,1977,CA,CCO,LAC, ,00000000,1977/07/12 00:00:00+00,,14,,1,5.3852372,,,,,00000000,1970,859.593500841997,31859.2485433333
23484,1977,CA,CCO,LAC, ,00000000,1977/07/24 00:00:00+00,,14,,1,7.9133615,,,,,00000000,1970,1007.85799070411,46794.517626142
23485,1978,CA,USF,SRF, ,00000000,1978/10/08 00:00:00+00,1978/10/08 00:00:00+00,3,8,1,2.9874339,,,,,00000044,1970,513.382516814116,20920.1717614346
23486,1983,CA,USF,CNF,VALLEY,00000000,1983/10/02 00:00:00+00,1983/10/03 00:00:00+00,7,8,1,89.989235,,,,,00000052,1980,3775.52205134045,520471.657805306
23487,1975,CA,CCO,LAC, ,00000000,1975/06/30 00:00:00+00,,14,,1,14.696641,,,,,00000000,1970,1251.54742078555,86780.9464984057
