;Region,Year,;Trigger,;Weak Layer,Depth_inches,Elevation_feet,Vertical_inches,Coordinates,Month,;Aspect,Day
Salt Lake,2017,Skier,New Snow,8,10500.0,5400.0,"40.546445101719, -111.710400568610",2,East,12
Salt Lake,2017,Skier,New Snow/Old Snow Interface,9,9800.0,2400.0,"40.628969529540, -111.665596949190",2,North,11
Salt Lake,2017,Natural,Graupel,36,10500.0,12000.0,"40.536940306594, -111.695938097580",2,Northeast,11
Salt Lake,2017,Unknown,New Snow,2,10200.0,3000.0,"40.540032775070, -111.682628305900",2,East,11
Salt Lake,2017,Skier,New Snow/Old Snow Interface,20,10500.0,5400.0,"40.583967208727, -111.598563181490",2,Northeast,11
Moab,2017,Skier,New Snow/Old Snow Interface,12,11600.0,6000.0,"38.456833862317, -109.242682444200",2,North,13
Salt Lake,2017,Natural,Graupel,30,10300.0,3600.0,"40.539949696328, -111.682891832940",2,Northeast,11
Salt Lake,2017,Skier,New Snow/Old Snow Interface,8,9300.0,6000.0,"40.568494535841, -111.673853798300",2,Northwest,13
Salt Lake,2017,Skier,New Snow/Old Snow Interface,3,10000.0,480.0,"40.545520792046, -111.666734205820",2,North,16
Salt Lake,2017,Skier,Unknown,11,9500.0,1200.0,"40.595796113816, -111.697257744410",2,North,16
Salt Lake,2017,Skier,Facets,10,9600.0,840.0,"40.545047422342, -111.694414602850",2,North,16
Salt Lake,2017,Skier,New Snow/Old Snow Interface,4,9400.0,1200.0,"40.555742519405, -111.690187441440",2,Northeast,18
Logan,2017,Skier,New Snow/Old Snow Interface,8,7600.0,2400.0,"41.919506232009, -111.716880785560",2,Unknown,18
Salt Lake,2017,Skier,New Snow,4,9600.0,1800.0,"40.595037711071, -111.646682011240",2,Northeast,19
Salt Lake,2017,Snowboarder,Unknown,8,10000.0,1200.0,"40.595592448263, -111.661691652860",2,Northeast,19
Salt Lake,2017,Snowboarder,New Snow/Old Snow Interface,10,10200.0,2400.0,"40.600262007882, -111.557157920460",2,North,19
Salt Lake,2017,Snowboarder,Facets,10,9400.0,2400.0,"40.607179522360, -111.636677371590",2,Northeast,19
Salt Lake,2017,Skier,New Snow/Old Snow Interface,10,10400.0,3000.0,"40.541597683682, -111.683063494300",2,East,19
Salt Lake,2017,Skier,New Snow/Old Snow Interface,12,10500.0,7200.0,"40.577255933713, -111.594252871580",2,North,19
Salt Lake,2017,Skier,New Snow/Old Snow Interface,4,8400.0,4800.0,"40.662703798171, -111.540219771010",2,East,20
Logan,2017,Skier,Facets,14,8300.0,840.0,"41.889828903853, -111.643061881660",2,Northeast,20
Uintas,2017,Natural,New Snow/Old Snow Interface,12,9800.0,2400.0,"40.832313111915, -111.065211283310",2,Northeast,20
Salt Lake,2017,Snowboarder,Facets,36,9300.0,3000.0,"40.593576218412, -111.589446962060",2,North,22
